"","units","context","element","taxonid","symmetry","taxongroup","elementtype","variablename","ecologicalgroup","samples","sites"
"1","°C",NA,"field",22538,NA,"Water chemistry","field","Temperature","WCHM",1,1
"2","Index",NA,"field",27429,NA,"Aquatic parameters","field","Forel Color","WCHM",1,1
"3","m",NA,"field",25382,NA,"Aquatic parameters","field","Secchi depth","WCHM",2,2
"4","m",NA,NA,25382,NA,"Aquatic parameters",NA,"Secchi depth","WCHM",1,1
"5","mg/L",NA,"lab",21262,NA,"Water chemistry","lab","Calcium ions","WCHM",2,2
"6","mg/L",NA,"lab",21263,NA,"Water chemistry","lab","Chloride ions","WCHM",2,2
"7","mg/L",NA,"lab",21265,NA,"Water chemistry","lab","Magnesium ions","WCHM",2,2
"8","mg/L",NA,"lab",21267,NA,"Water chemistry","lab","Potassium ions","WCHM",2,2
"9","mg/L",NA,"lab",21268,NA,"Water chemistry","lab","Sodium ions","WCHM",2,2
"10","mg/L",NA,"lab",21270,NA,"Water chemistry","lab","Sulfate ions","WCHM",2,2
"11","mg/L",NA,"lab",25196,NA,"Aquatic parameters","lab","Alkalinity","WCHM",2,2
"12","mg/L",NA,"lab",25197,NA,"Aquatic parameters","lab","Dissolved organic carbon","WCHM",1,1
"13","mg/L",NA,"lab",25398,NA,"Aquatic parameters","lab","Dissolved inorganic carbon","WCHM",1,1
"14","mg/L",NA,"lab",28932,NA,"Water chemistry","lab","Silicon ions","WCHM",1,1
"15","mg/L",NA,"lab",30910,NA,"Water chemistry","lab","Nitrate as N","WCHM",1,1
"16","mg/L",NA,"lab",30911,NA,"Water chemistry","lab","Ammonium as N","WCHM",1,1
"17","mg/L",NA,NA,25196,NA,"Aquatic parameters",NA,"Alkalinity","WCHM",1,1
"18","mg/L",NA,NA,25197,NA,"Aquatic parameters",NA,"Dissolved organic carbon","WCHM",1,1
"19","mg/L",NA,NA,25200,NA,"Water chemistry",NA,"Total Nitrogen","WCHM",1,1
"20","mg/L",NA,NA,27430,NA,"Aquatic parameters",NA,"Hardness","WCHM",1,1
"21","mg/L",NA,NA,27434,NA,"Aquatic parameters",NA,"Total suspended solids","WCHM",1,1
"22","ml",NA,"volume",276,NA,"Laboratory analyses","volume","Sample quantity","LABO",314,3
"23","NISP","DIAT","valve",10159,NA,"Diatoms","valve","Achnanthes helvetica","DIAT",53,46
"24","NISP","DIAT","valve",10162,NA,"Diatoms","valve","Achnanthes didyma","DIAT",131,128
"25","NISP","DIAT","valve",10163,NA,"Diatoms","valve","Achnanthes exigua","DIAT",53,47
"26","NISP","DIAT","valve",10164,NA,"Diatoms","valve","Achnanthes exigua var. heterovalva","DIAT",36,35
"27","NISP","DIAT","valve",10165,NA,"Diatoms","valve","Achnanthes flexella","DIAT",23,21
"28","NISP","DIAT","valve",10168,NA,"Diatoms","valve","Achnanthes hustedtii","DIAT",6,6
"29","NISP","DIAT","valve",10170,NA,"Diatoms","valve","Achnanthes lanceolata","DIAT",33,27
"30","NISP","DIAT","valve",10171,NA,"Diatoms","valve","Achnanthes lanceolata var. dubia","DIAT",27,27
"31","NISP","DIAT","valve",10174,NA,"Diatoms","valve","Achnanthes lapidosa","DIAT",11,11
"32","NISP","DIAT","valve",10177,NA,"Diatoms","valve","Achnanthes levanderi","DIAT",37,37
"33","NISP","DIAT","valve",10178,NA,"Diatoms","valve","Achnanthes levanderi var. helvetica","DIAT",44,38
"34","NISP","DIAT","valve",10179,NA,"Diatoms","valve","Achnanthes linearis","DIAT",98,86
"35","NISP","DIAT","valve",10180,NA,"Diatoms","valve","Achnanthes linearis fo. curta","DIAT",79,79
"36","NISP","DIAT","valve",10183,NA,"Diatoms","valve","Achnanthes marginulata","DIAT",43,36
"37","NISP","DIAT","valve",10184,NA,"Diatoms","valve","Achnanthes microcephala","DIAT",77,76
"38","NISP","DIAT","valve",10185,NA,"Diatoms","valve","Achnanthes minutissima","DIAT",78,62
"39","NISP","DIAT","valve",10188,NA,"Diatoms","valve","Achnanthes peragalli","DIAT",12,11
"40","NISP","DIAT","valve",10190,NA,"Diatoms","valve","Achnanthes suchlandtii","DIAT",29,28
"41","NISP","DIAT","valve",10191,NA,"Diatoms","valve","Achnanthes lapponica var. 1 PIRLA","DIAT",2,2
"42","NISP","DIAT","valve",10194,NA,"Diatoms","valve","Achnanthes detha","DIAT",72,55
"43","NISP","DIAT","valve",10195,NA,"Diatoms","valve","Achnanthes bicapitata","DIAT",25,21
"44","NISP","DIAT","valve",10197,NA,"Diatoms","valve","Achnanthes sp. 5 PIRLA","DIAT",1,1
"45","NISP","DIAT","valve",10198,NA,"Diatoms","valve","Achnanthes stewartii","DIAT",10,10
"46","NISP","DIAT","valve",10200,NA,"Diatoms","valve","Achnanthes laterostrata","DIAT",49,47
"47","NISP","DIAT","valve",10203,NA,"Diatoms","valve","Achnanthes imperfecta","DIAT",2,2
"48","NISP","DIAT","valve",10210,NA,"Diatoms","valve","Achnanthes hungarica","DIAT",93,93
"49","NISP","DIAT","valve",10211,NA,"Diatoms","valve","Achnanthes clevei var. rostrata","DIAT",5,5
"50","NISP","DIAT","valve",10218,NA,"Diatoms","valve","Achnanthes lapponica","DIAT",8,8
"51","NISP","DIAT","valve",10247,NA,"Diatoms","valve","Achnanthes conspicua","DIAT",7,7
"52","NISP","DIAT","valve",10248,NA,"Diatoms","valve","Achnanthes delicatula","DIAT",2,2
"53","NISP","DIAT","valve",10249,NA,"Diatoms","valve","Achnanthes gracillima","DIAT",38,38
"54","NISP","DIAT","valve",10250,NA,"Diatoms","valve","Achnanthes lanceolata var. elliptica","DIAT",11,10
