,units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,replacement,ecologicalgroup,samples,sites
107,NISP,NA,valve,10301,NA,Diatoms,valve,Achnanthes acares,,DIAT,11,5
2546,NISP,NA,valve,28032,NA,Diatoms,valve,Achnanthes aff. conspicua,,DIAT,2,2
2624,NISP,NA,valve,29681,NA,Diatoms,valve,Achnanthes affinis,,DIAT,18,5
2199,NISP,NA,valve,24686,NA,Diatoms,valve,Achnanthes altaica,,DIAT,327,69
2359,NISP,NA,valve,25334,NA,Diatoms,valve,Achnanthes arenaria,,DIAT,1,1
8,NISP,NA,valve,10158,NA,Diatoms,valve,Achnanthes austriaca,,DIAT,18,18
2652,NISP,NA,valve,29873,NA,Diatoms,valve,Achnanthes austriaca var. helvetica,,DIAT,1,1
2340,NISP,NA,valve,25187,NA,Diatoms,valve,Achnanthes bahusiensis,,DIAT,5,4
50,NISP,NA,valve,10205,NA,Diatoms,valve,Achnanthes biasolettiana,,DIAT,19,18
2165,NISP,NA,valve,24313,NA,Diatoms,valve,Achnanthes biasolettiana var. subatomus,,DIAT,30,21
43,NISP,NA,valve,10195,NA,Diatoms,valve,Achnanthes bicapitata,,DIAT,350,48
2212,NISP,NA,valve,24751,NA,Diatoms,valve,Achnanthes bioretii,Psammothidium bioretii,DIAT,44,28
2269,NISP,NA,valve,25062,NA,Diatoms,valve,Achnanthes broenlundensis,,DIAT,3,3
2198,NISP,NA,valve,24684,NA,Diatoms,valve,Achnanthes calcar,,DIAT,2,2
2206,NISP,NA,valve,24735,NA,Diatoms,valve,Achnanthes carissima,,DIAT,189,38
2207,NISP,NA,valve,24736,NA,Diatoms,valve,Achnanthes catenata,,DIAT,6,6
2702,NISP,NA,valve,30793,NA,Diatoms,valve,Achnanthes cf. acares,,DIAT,6,5
2902,NISP,NA,valve,36199,NA,Diatoms,valve,Achnanthes cf. convergens NLA DB,,DIAT,1,1
2558,NISP,NA,valve,28127,NA,Diatoms,valve,Achnanthes cf. delicatula var. engelbrechtii,,DIAT,4,4
2815,NISP,NA,valve,35904,NA,Diatoms,valve,Achnanthes cf. levanderi NLA DB,,DIAT,7,7
2653,NISP,NA,valve,29874,NA,Diatoms,valve,Achnanthes cf. linearis,,DIAT,1,1
2216,NISP,NA,valve,24768,NA,Diatoms,valve,Achnanthes cf. ricula,,DIAT,2,2
2175,NISP,NA,valve,24376,NA,Diatoms,valve,Achnanthes chlidanos,Psammothidium chlidanos,DIAT,174,68
10,NISP,NA,valve,10160,NA,Diatoms,valve,Achnanthes clevei,,DIAT,54,36
3647,percent,NA,valve,10160,NA,Diatoms,valve,Achnanthes clevei,,DIAT,2,2
54,NISP,NA,valve,10211,NA,Diatoms,valve,Achnanthes clevei var. rostrata,,DIAT,5,4
41,NISP,NA,valve,10193,NA,Diatoms,valve,Achnanthes coarctata,,DIAT,1,1
81,NISP,NA,valve,10247,NA,Diatoms,valve,Achnanthes conspicua,,DIAT,38,37
3655,percent,NA,valve,10247,NA,Diatoms,valve,Achnanthes conspicua,,DIAT,7,7
108,NISP,NA,valve,10302,NA,Diatoms,valve,Achnanthes curtissima,,DIAT,103,70
2157,NISP,NA,valve,14156,NA,Diatoms,valve,Achnanthes daui,,DIAT,5,5
55,NISP,NA,valve,10216,NA,Diatoms,valve,Achnanthes daui var. alaskaensis,,DIAT,13,13
82,NISP,NA,valve,10248,NA,Diatoms,valve,Achnanthes delicatula,,DIAT,33,11
11,NISP,NA,valve,10161,NA,Diatoms,valve,Achnanthes depressa,,DIAT,3,3
42,NISP,NA,valve,10194,NA,Diatoms,valve,Achnanthes detha,,DIAT,726,122
12,NISP,NA,valve,10162,NA,Diatoms,valve,Achnanthes didyma,,DIAT,351,104
13,NISP,NA,valve,10163,NA,Diatoms,valve,Achnanthes exigua,,DIAT,146,74
3648,percent,NA,valve,10163,NA,Diatoms,valve,Achnanthes exigua,,DIAT,17,17
