aggregateid,siteid,sitename,diatomdatasetid,waterchemdatasetid,aggregatedatasetname,aggregatedatasethandle
4,17800,Barnes Lake,29964,43076,Adirondack Calibration - PIRLA,ADK-PIRLA
4,17990,Clear Pong (E.L.),30358,43089,Adirondack Calibration - PIRLA,ADK-PIRLA
4,720,Deep Lake,30735,43099,Adirondack Calibration - PIRLA,ADK-PIRLA
4,14223,Lake Arnold,30949,43125,Adirondack Calibration - PIRLA,ADK-PIRLA
4,18648,Little Echo Pond,31878,43130,Adirondack Calibration - PIRLA,ADK-PIRLA
4,18650,Merriam Lake,31882,43139,Adirondack Calibration - PIRLA,ADK-PIRLA
4,18688,Queer Lake,31958,43176,Adirondack Calibration - PIRLA,ADK-PIRLA
4,710,Arbutus Lake,40402,43074,Adirondack Calibration - PIRLA,ADK-PIRLA
4,711,Avalanche Lake,40403,43075,Adirondack Calibration - PIRLA,ADK-PIRLA
4,712,Bear Pond,40404,43077,Adirondack Calibration - PIRLA,ADK-PIRLA
4,23410,Bog Pond,40455,43081,Adirondack Calibration - PIRLA,ADK-PIRLA
4,713,Cat Mountain Pond,40456,43085,Adirondack Calibration - PIRLA,ADK-PIRLA
4,716,Copperas Pond (Fish Creek),40457,43092,Adirondack Calibration - PIRLA,ADK-PIRLA
4,715,Copperas Pond (Wilmington Notch),40458,43093,Adirondack Calibration - PIRLA,ADK-PIRLA
4,717,Cowhorn Pond,40459,43094,Adirondack Calibration - PIRLA,ADK-PIRLA
4,718,Crane Mountain Pond,40460,43095,Adirondack Calibration - PIRLA,ADK-PIRLA
4,721,Deer Lake,40461,43100,Adirondack Calibration - PIRLA,ADK-PIRLA
4,722,Dunk Pond,40462,43104,Adirondack Calibration - PIRLA,ADK-PIRLA
4,723,East Copperas Pond,40463,43105,Adirondack Calibration - PIRLA,ADK-PIRLA
4,724,Frank Pond,40464,43109,Adirondack Calibration - PIRLA,ADK-PIRLA
4,725,Giant Washbowl,40465,43110,Adirondack Calibration - PIRLA,ADK-PIRLA
4,726,Green Pond,40466,43114,Adirondack Calibration - PIRLA,ADK-PIRLA
4,727,Gull Pond,40467,43116,Adirondack Calibration - PIRLA,ADK-PIRLA
4,728,Heart Lake,40468,43118,Adirondack Calibration - PIRLA,ADK-PIRLA
4,729,Huntley Pond,40469,43120,Adirondack Calibration - PIRLA,ADK-PIRLA
