units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,NA,50-125 µm,1062,NA,Charcoal,NA,Charcoal,CHAR,91,1
NISP,NA,>10 µm,1062,NA,Charcoal,>10 µm,Charcoal,CHAR,354,1
NISP,NA,>125 µm,1062,NA,Charcoal,>125 µm,Charcoal,CHAR,91,1
NISP,NA,ascospore,1489,NA,Fungi,ascospore,Sporormiella,FUNG,9,2
NISP,NA,ascospore,2193,NA,Fungi,ascospore,Gelasinospora,FUNG,1,1
NISP,NA,ascospore,5415,NA,Fungi,ascospore,Diporotheca,FUNG,21,2
NISP,NA,ascospore,25931,NA,Fungi,ascospore,Ustulina,FUNG,6,1
NISP,NA,ascospore,27598,NA,Fungi,ascospore,Podospora-type,FUNG,11,1
NISP,NA,ascospore,27614,NA,Fungi,ascospore,Ustulina deusta,FUNG,2,1
NISP,NA,cell cluster,35283,NA,Fungi,cell cluster,Asterosporium,FUNG,51,1
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,400,15
NISP,NA,colony,326,NA,Algae,colony,Botryococcus,ALGA,243,4
NISP,NA,colony,690,NA,Algae,colony,Pediastrum duplex,ALGA,19,1
NISP,NA,colony,2950,NA,Algae,colony,Pediastrum longicorne,ALGA,6,1
NISP,NA,colony,5137,NA,Algae,colony,Coelastrum reticulatum,ALGA,26,1
NISP,NA,colony,5138,NA,Algae,colony,Scenedesmus,ALGA,9,1
NISP,NA,colony,5140,NA,Algae,colony,Tetraëdron minimum,ALGA,63,1
NISP,NA,colony,27693,NA,Algae,colony,Scenedesmus quadricauda,ALGA,15,1
NISP,NA,colony,32495,NA,Algae,colony,Pediastrum orientale,ALGA,3,1
NISP,NA,colony,33383,NA,Algae,colony,Pseudopediastrum boryanum,ALGA,39,2
NISP,NA,colony,33387,NA,Algae,colony,Pseudopediastrum boryanum var. longicorne,ALGA,21,2
NISP,NA,colony,33392,NA,Algae,colony,Pseudopediastrum boryanum var. boryanum sensu lato,ALGA,10,1
NISP,NA,colony,33394,NA,Algae,colony,Pseudopediastrum integrum,ALGA,29,2
NISP,NA,colony,33395,NA,Algae,colony,Pseudopediastrum boryanum var. cornutum,ALGA,4,1
NISP,NA,colony,33398,NA,Algae,colony,Monactinus simplex,ALGA,13,1
NISP,NA,colony,33400,NA,Algae,colony,Stauridium tetras,ALGA,2,1
NISP,NA,concentration,932,NA,Laboratory analyses,concentration,Lycopodium spike,LABO,91,1
NISP,NA,counted,932,NA,Laboratory analyses,counted,Lycopodium spike,LABO,223,3
NISP,NA,counted,37831,NA,Laboratory analyses,counted,Exotic,LABO,26,1
NISP,NA,cyst,778,NA,Dinoflagellates,cyst,Dinoflagellata,DINO,40,5
NISP,NA,cyst,5469,NA,Acritarchs,cyst,Pseudoschizaea,ACRI,9,1
NISP,NA,egg,27709,NA,Rotifers,egg,Filinia,ROTI,2,1
NISP,NA,egg,34124,NA,Rotifers,egg,Trichocerca,ROTI,1,1
NISP,NA,filament/cell,1488,NA,Algae,filament/cell,Spirogyra,ALGA,5,1
NISP,NA,filament/cell,3091,NA,Algae,filament/cell,Zygnema,ALGA,8,1
NISP,NA,filament/cell,29127,NA,Algae,filament/cell,Botryococcaceae,ALGA,19,1
NISP,NA,fragment,1062,NA,Charcoal,fragment,Charcoal,CHAR,99,2
NISP,NA,fruit body,3698,NA,Fungi,fruit body,Microthyrium,FUNG,50,1
NISP,NA,head capsule,18678,NA,Insects,head capsule,Chironomidae,DIPT,8,1
NISP,NA,hyphae,535,NA,Fungi,hyphae,Fungi,FUNG,6,1
NISP,NA,leaf,294,NA,Bryophytes,leaf,Sphagnum,AQBR,1,1
NISP,NA,leaf hair,2677,NA,Vascular plants,leaf hair,Hippophaë,TRSH,3,1
NISP,NA,lorica,1198,NA,Rotifers,lorica,Habrotrocha angusticollis,ROTI,59,2
NISP,NA,lorica,30508,NA,Rotifers,lorica,Callidina,ROTI,4,1
NISP,NA,mandible,18678,NA,Insects,mandible,Chironomidae,DIPT,74,1
NISP,NA,number,930,NA,Laboratory analyses,number,Lycopodium tablets,LABO,117,2
NISP,NA,oocyte,5418,NA,Flatworms,oocyte,Rhabdocoela,FLWO,143,1
NISP,NA,palynomorph,202,NA,Algae,palynomorph,Pediastrum,ALGA,34,1
NISP,NA,palynomorph,1198,NA,Rotifers,palynomorph,Habrotrocha angusticollis,ROTI,92,1
NISP,NA,palynomorph,1488,NA,Algae,palynomorph,Spirogyra,ALGA,18,1
NISP,NA,palynomorph,1704,NA,Algae,palynomorph,Zygnemataceae,ALGA,9,2
NISP,NA,palynomorph,5123,NA,Algae,palynomorph,Mougeotia,ALGA,12,2
NISP,NA,palynomorph,5418,NA,Flatworms,palynomorph,Rhabdocoela,FLWO,149,2
NISP,NA,palynomorph,5469,NA,Acritarchs,palynomorph,Pseudoschizaea,ACRI,42,3
NISP,NA,palynomorph,5629,NA,Algae,palynomorph,Cosmarium,ALGA,1,1
NISP,NA,palynomorph,27884,NA,Unidentified palynomorphs,palynomorph,cf. Larix,TRSH,2,2
NISP,NA,palynomorph,27884,NA,Unidentified palynomorphs,palynomorph,cf. Larix,UNID,2,2
NISP,NA,palynomorph,32660,NA,Dinoflagellates,palynomorph,Cymatiosphaera,PLNT,9,1
NISP,NA,palynomorph,33034,NA,Algae,palynomorph,Chrysophyceae,ALGA,5,1
NISP,NA,palynomorph,33407,NA,Algae,palynomorph,Pseudopediastrum alternans,ALGA,4,1
NISP,NA,palynomorph,44118,NA,Algae,palynomorph,Volvocaceae,ALGA,16,1
NISP,NA,particle,34286,NA,Charcoal,particle,Spheroidal carbonaceous particle,CHAR,26,1
NISP,NA,pollen,1,NA,Vascular plants,pollen,Abies,TRSH,3717,50
NISP,NA,pollen,11,NA,Vascular plants,pollen,Aesculus,TRSH,11,4
NISP,NA,pollen,12,NA,Vascular plants,pollen,Allium,UPHE,16,3
NISP,NA,pollen,14,NA,Vascular plants,pollen,Alnus viridis-type,TRSH,442,7
NISP,NA,pollen,15,NA,Vascular plants,pollen,Alnus undiff.,TRSH,122,1
NISP,NA,pollen,16,NA,Vascular plants,pollen,Ambrosia-type,UPHE,15,3
NISP,NA,pollen,23,NA,Vascular plants,pollen,Arceuthobium,TRSH,5,1
NISP,NA,pollen,24,NA,Vascular plants,pollen,Armeria,UPHE,52,14
NISP,NA,pollen,25,NA,Vascular plants,pollen,Artemisia,UPHE,5971,59
NISP,NA,pollen,29,NA,Vascular plants,pollen,Betula,TRSH,5715,57
NISP,NA,pollen,31,NA,Vascular plants,pollen,Bidens-type,UPHE,31,1
NISP,NA,pollen,32,NA,Vascular plants,pollen,Boraginaceae,UPHE,57,17
NISP,NA,pollen,39,NA,Vascular plants,pollen,Callitriche,AQVP,27,3
NISP,NA,pollen,40,NA,Vascular plants,pollen,Caltha,AQVP,14,2
NISP,NA,pollen,44,NA,Vascular plants,pollen,Carya,TRSH,6,1
NISP,NA,pollen,45,NA,Vascular plants,pollen,Caryophyllaceae,UPHE,2012,41
NISP,NA,pollen,47,NA,Vascular plants,pollen,Castanea,TRSH,604,23
NISP,NA,pollen,49,NA,Vascular plants,pollen,Celtis,TRSH,40,5
NISP,NA,pollen,55,NA,Vascular plants,pollen,Cistaceae,UPHE,24,3
NISP,NA,pollen,56,NA,Vascular plants,pollen,Citrus,TRSH,3,2
NISP,NA,pollen,57,NA,Vascular plants,pollen,Cladium,AQVP,43,1
NISP,NA,pollen,61,NA,Vascular plants,pollen,Asteraceae undiff.,UPHE,142,3
NISP,NA,pollen,67,NA,Vascular plants,pollen,Corylus,TRSH,3102,30
NISP,NA,pollen,68,NA,Vascular plants,pollen,Crassulaceae,UPHE,25,5
NISP,NA,pollen,69,NA,Vascular plants,pollen,Crataegus-type,TRSH,27,10
NISP,NA,pollen,70,NA,Vascular plants,pollen,Brassicaceae undiff.,UPHE,69,2
NISP,NA,pollen,72,NA,Vascular plants,pollen,Cupressaceae,TRSH,67,2
NISP,NA,pollen,73,NA,Vascular plants,pollen,Cuscuta,UPHE,33,13
NISP,NA,pollen,74,NA,Vascular plants,pollen,Cyperaceae,UPHE,5600,58
NISP,NA,pollen,81,NA,Vascular plants,pollen,Drosera,AQVP,46,8
NISP,NA,pollen,90,NA,Vascular plants,pollen,Epilobium,UPHE,169,30
NISP,NA,pollen,92,NA,Vascular plants,pollen,Ericaceae,TRSH,1751,50
NISP,NA,pollen,95,NA,Laboratory analyses,pollen,Eucalyptus spike,LABO,219,1
NISP,NA,pollen,103,NA,Vascular plants,pollen,Euonymus,TRSH,7,5
NISP,NA,pollen,104,NA,Vascular plants,pollen,Euphorbia,UPHE,135,23
NISP,NA,pollen,106,NA,Vascular plants,pollen,Fagopyrum,UPHE,31,10
NISP,NA,pollen,107,NA,Vascular plants,pollen,Fagus,TRSH,4122,50
NISP,NA,pollen,114,NA,Vascular plants,pollen,Fraxinus undiff.,TRSH,91,3
NISP,NA,pollen,116,NA,Vascular plants,pollen,Galium,UPHE,226,7
NISP,NA,pollen,119,NA,Vascular plants,pollen,Gentianaceae,UPHE,94,17
NISP,NA,pollen,120,NA,Vascular plants,pollen,Geranium,UPHE,151,28
NISP,NA,pollen,121,NA,Vascular plants,pollen,Geum-type,UPHE,91,13
NISP,NA,pollen,125,NA,Vascular plants,pollen,Poaceae undiff.,UPHE,924,1
NISP,NA,pollen,127,NA,Vascular plants,pollen,Angiospermae undiff. (herbs),UPHE,189,1
NISP,NA,pollen,129,NA,Vascular plants,pollen,Hippuris vulgaris,AQVP,3,1
NISP,NA,pollen,130,NA,Vascular plants,pollen,Humulus-type,UPHE,402,7
NISP,NA,pollen,132,NA,Vascular plants,pollen,Hypericum,UPHE,207,15
NISP,NA,pollen,135,NA,Vascular plants,pollen,Ilex,TRSH,123,8
NISP,NA,pollen,136,NA,Vascular plants,pollen,Impatiens,UPHE,3,2
NISP,NA,pollen,147,NA,Vascular plants,pollen,Juncaceae,UPHE,14,3
NISP,NA,pollen,150,NA,Vascular plants,pollen,Lamiaceae undiff.,UPHE,9,2
NISP,NA,pollen,153,NA,Vascular plants,pollen,Larix,TRSH,1887,38
NISP,NA,pollen,157,NA,Vascular plants,pollen,Fabaceae undiff.,UPHE,248,9
NISP,NA,pollen,159,NA,Vascular plants,pollen,Lemnoideae,AQVP,2,1
NISP,NA,pollen,160,NA,Vascular plants,pollen,Cichorioideae,UPHE,4190,57
NISP,NA,pollen,161,NA,Vascular plants,pollen,Liliaceae undiff.,UPHE,64,3
NISP,NA,pollen,164,NA,Vascular plants,pollen,Lonicera,TRSH,94,17
NISP,NA,pollen,180,NA,Vascular plants,pollen,Malvaceae,UPHE,17,5
NISP,NA,pollen,182,NA,Vascular plants,pollen,Menyanthes trifoliata,AQVP,165,22
NISP,NA,pollen,185,NA,Vascular plants,pollen,Moraceae,TRSH,1,1
NISP,NA,pollen,186,NA,Vascular plants,pollen,Morus,TRSH,4,1
NISP,NA,pollen,188,NA,Vascular plants,pollen,Myriophyllum,AQVP,167,13
NISP,NA,pollen,190,NA,Vascular plants,pollen,Nuphar,AQVP,44,11
NISP,NA,pollen,192,NA,Vascular plants,pollen,Nymphaea,AQVP,358,18
NISP,NA,pollen,199,NA,Vascular plants,pollen,Arecaceae,PALM,3,2
NISP,NA,pollen,200,NA,Vascular plants,pollen,Parnassia,UPHE,16,2
NISP,NA,pollen,210,NA,Vascular plants,pollen,Picea,TRSH,2761,48
NISP,NA,pollen,212,NA,Vascular plants,pollen,Pinus subg. Pinus,TRSH,753,12
NISP,NA,pollen,213,NA,Vascular plants,pollen,Pinus subg. Strobus,TRSH,89,3
NISP,NA,pollen,216,NA,Vascular plants,pollen,Pinus undiff.,TRSH,1033,2
NISP,NA,pollen,218,NA,Vascular plants,pollen,Plantago undiff.,UPHE,324,10
NISP,NA,pollen,219,NA,Vascular plants,pollen,Plantago major,UPHE,389,25
NISP,NA,pollen,220,NA,Vascular plants,pollen,Plantago lanceolata,UPHE,513,9
NISP,NA,pollen,221,NA,Vascular plants,pollen,Plantago media,UPHE,400,24
NISP,NA,pollen,222,NA,Vascular plants,pollen,Platanus,TRSH,274,19
NISP,NA,pollen,230,NA,Vascular plants,pollen,Persicaria amphibia,UPHE,16,4
NISP,NA,pollen,231,NA,Vascular plants,pollen,Polygonum aviculare-type,UPHE,83,15
NISP,NA,pollen,242,NA,Vascular plants,pollen,Potentilla-type,UPHE,1342,37
NISP,NA,pollen,244,NA,Vascular plants,pollen,Primulaceae,UPHE,55,13
NISP,NA,pollen,245,NA,Vascular plants,pollen,Prunus-type,TRSH,112,19
NISP,NA,pollen,250,NA,Vascular plants,pollen,Pyrus-type,TRSH,1,1
NISP,NA,pollen,251,NA,Vascular plants,pollen,Quercus,TRSH,2084,27
NISP,NA,pollen,252,NA,Vascular plants,pollen,Ranunculaceae undiff.,UPHE,40,3
NISP,NA,pollen,256,NA,Vascular plants,pollen,Rhamnaceae,TRSH,43,1
NISP,NA,pollen,259,NA,Vascular plants,pollen,Rhododendron,TRSH,58,4
NISP,NA,pollen,260,NA,Vascular plants,pollen,Rhus,TRSH,1,1
NISP,NA,pollen,262,NA,Vascular plants,pollen,Ribes,TRSH,6,3
NISP,NA,pollen,263,NA,Vascular plants,pollen,Robinia,TRSH,3,1
NISP,NA,pollen,265,NA,Vascular plants,pollen,Rosaceae (trees) undiff.,TRSH,26,1
NISP,NA,pollen,267,NA,Vascular plants,pollen,Rubus,TRSH,73,13
NISP,NA,pollen,268,NA,Vascular plants,pollen,Rumex,UPHE,1665,21
NISP,NA,pollen,270,NA,Vascular plants,pollen,Sagittaria,AQVP,14,2
NISP,NA,pollen,271,NA,Vascular plants,pollen,Salix,TRSH,4018,58
NISP,NA,pollen,275,NA,Vascular plants,pollen,Sambucus,TRSH,310,9
NISP,NA,pollen,277,NA,Vascular plants,pollen,Sanguisorba,UPHE,15,5
NISP,NA,pollen,282,NA,Vascular plants,pollen,Saxifragaceae,UPHE,92,8
NISP,NA,pollen,283,NA,Vascular plants,pollen,Scheuchzeria palustris,AQVP,18,2
NISP,NA,pollen,284,NA,Vascular plants,pollen,Scrophulariaceae,UPHE,728,31
NISP,NA,pollen,285,NA,Vascular plants,pollen,Sedum,UPHE,230,17
NISP,NA,pollen,293,NA,Vascular plants,pollen,Sparganium-type,AQVP,659,20
NISP,NA,pollen,299,NA,Vascular plants,pollen,Taxus,TRSH,283,10
NISP,NA,pollen,300,NA,Vascular plants,pollen,Thalictrum,UPHE,3183,48
NISP,NA,pollen,302,NA,Vascular plants,pollen,Tilia,TRSH,3325,55
NISP,NA,pollen,306,NA,Vascular plants,pollen,Tsuga,TRSH,5,2
NISP,NA,pollen,307,NA,Vascular plants,pollen,Asteroideae undiff.,UPHE,154,4
NISP,NA,pollen,308,NA,Vascular plants,pollen,Typha/Sparganium,AQVP,124,3
NISP,NA,pollen,309,NA,Vascular plants,pollen,Typha latifolia,AQVP,288,12
NISP,NA,pollen,310,NA,Vascular plants,pollen,Ulmus,TRSH,4890,58
NISP,NA,pollen,311,NA,Vascular plants,pollen,Apiaceae,UPHE,3273,49
NISP,NA,pollen,312,NA,Unidentified palynomorphs,pollen,Indeterminable,UNID,83,2
NISP,NA,pollen,314,NA,Vascular plants,pollen,Urtica-type,UPHE,120,1
NISP,NA,pollen,316,NA,Vascular plants,pollen,Utricularia,AQVP,38,5
NISP,NA,pollen,317,NA,Vascular plants,pollen,Vaccinium,TRSH,441,11
NISP,NA,pollen,318,NA,Vascular plants,pollen,Valeriana,UPHE,41,8
