taxonid,variablename,ecologicalgroup,harmonizedname
1,Abies,TRSH,Abies
550,Abies balsamea,TRSH,Abies
3725,Abies undiff.,TRSH,Abies
338,Acer,TRSH,Acer
552,Acer cf. A. pensylvanicum,TRSH,Acer
4,Acer negundo,TRSH,Acer
553,Acer nigrum,TRSH,Acer
5,Acer pensylvanicum,TRSH,Acer
6,Acer rubrum,TRSH,Acer
554,Acer saccharinum,TRSH,Acer
555,Acer saccharum,TRSH,Acer
3,Acer saccharum-type,TRSH,Acer
8,Acer spicatum,TRSH,Acer
9,Acer undiff.,TRSH,Acer
330,Alnus,TRSH,Alnus
344,Alnus incana,TRSH,Alnus
13,Alnus incana-type,TRSH,Alnus
15,Alnus undiff.,TRSH,Alnus
353,Alnus viridis,TRSH,Alnus
3606,Alnus viridis subsp. crispa,TRSH,Alnus
3607,Alnus viridis subsp. crispa-type,TRSH,Alnus
14,Alnus viridis-type,TRSH,Alnus
564,Andromeda polifolia,TRSH,Andromeda
563,Andromeda polifolia var. latifolia,TRSH,Andromeda
21,Aquifoliaceae,TRSH,Aquifoliaceae
23,Arceuthobium,TRSH,Arceuthobium
1162,Arctostaphylos,TRSH,Arctostaphylos
29,Betula,TRSH,Betula
5735,Betula (large),TRSH,Betula
574,Betula (shrub),TRSH,Betula
5736,Betula (small),TRSH,Betula
23078,Betula spp.,TRSH,Betula
1011,Betula undiff.,TRSH,Betula
327,Betulaceae,TRSH,Betula
357,Betulaceae undiff.,TRSH,Betula
394,Caprifoliaceae,TRSH,Caprifoliaceae
9528,Caprifoliaceae sensu lato,TRSH,Caprifoliaceae
9529,Caprifoliaceae sensu lato undiff.,TRSH,Caprifoliaceae
44,Carya,TRSH,Carya
587,Carya cordiformis,TRSH,Carya
588,Carya ovata,TRSH,Carya
2643,Cassiope-type,TRSH,Cassiope
47,Castanea,TRSH,Castanea
590,Castanea dentata,TRSH,Castanea
3996,Castanea-type,TRSH,Castanea
49,Celtis,TRSH,Celtis
591,Celtis occidentalis,TRSH,Celtis
24134,Celtis/Ulmus,TRSH,Celtis
50,Cephalanthus,TRSH,Other
593,Cephalanthus occidentalis,TRSH,Other
743,cf. Sarcobatus vermiculatus,TRSH,Sarcobatus vermiculatus
2574,cf. Shepherdia,TRSH,Shepherdia
757,cf. Taxus,TRSH,Taxus
9124,Chamaedaphne,TRSH,Chamaedaphne
53,Chamaedaphne calyculata,TRSH,Chamaedaphne
597,Comptonia peregrina,TRSH,Comptonia
1944,Coniferae,TRSH,Other
1943,Coniferae undiff.,TRSH,Other
1693,Cornaceae,TRSH,Cornus
361,Cornus,TRSH,Cornus
