units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,derived,spore,677,NA,Vascular plants,spore,Pteridophyta,VACR,25,1
NISP,NA,>25 µm,1062,NA,Charcoal,>25 µm,Charcoal,CHAR,64,1
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,29,1
NISP,NA,colony,326,NA,Algae,colony,Botryococcus,ALGA,20,1
NISP,NA,pollen,25,NA,Vascular plants,pollen,Artemisia,UPHE,186,3
NISP,NA,pollen,29,NA,Vascular plants,pollen,Betula,TRSH,156,2
NISP,NA,pollen,45,NA,Vascular plants,pollen,Caryophyllaceae,UPHE,10,1
NISP,NA,pollen,67,NA,Vascular plants,pollen,Corylus,TRSH,59,1
NISP,NA,pollen,74,NA,Vascular plants,pollen,Cyperaceae,UPHE,135,2
NISP,NA,pollen,86,NA,Vascular plants,pollen,Empetrum,TRSH,134,2
NISP,NA,pollen,90,NA,Vascular plants,pollen,Epilobium,UPHE,1,1
NISP,NA,pollen,107,NA,Vascular plants,pollen,Fagus,TRSH,44,1
NISP,NA,pollen,120,NA,Vascular plants,pollen,Geranium,UPHE,1,1
NISP,NA,pollen,121,NA,Vascular plants,pollen,Geum-type,UPHE,72,2
NISP,NA,pollen,125,NA,Vascular plants,pollen,Poaceae undiff.,UPHE,92,1
NISP,NA,pollen,132,NA,Vascular plants,pollen,Hypericum,UPHE,22,1
NISP,NA,pollen,157,NA,Vascular plants,pollen,Fabaceae undiff.,UPHE,4,2
NISP,NA,pollen,160,NA,Vascular plants,pollen,Cichorioideae,UPHE,137,3
NISP,NA,pollen,182,NA,Vascular plants,pollen,Menyanthes trifoliata,AQVP,53,2
NISP,NA,pollen,190,NA,Vascular plants,pollen,Nuphar,AQVP,15,1
NISP,NA,pollen,192,NA,Vascular plants,pollen,Nymphaea,AQVP,62,1
NISP,NA,pollen,210,NA,Vascular plants,pollen,Picea,TRSH,63,2
NISP,NA,pollen,219,NA,Vascular plants,pollen,Plantago major,UPHE,89,2
NISP,NA,pollen,220,NA,Vascular plants,pollen,Plantago lanceolata,UPHE,98,2
NISP,NA,pollen,221,NA,Vascular plants,pollen,Plantago media,UPHE,69,1
NISP,NA,pollen,230,NA,Vascular plants,pollen,Persicaria amphibia,UPHE,3,1
NISP,NA,pollen,242,NA,Vascular plants,pollen,Potentilla-type,UPHE,164,3
NISP,NA,pollen,251,NA,Vascular plants,pollen,Quercus,TRSH,153,2
NISP,NA,pollen,252,NA,Vascular plants,pollen,Ranunculaceae undiff.,UPHE,3,1
NISP,NA,pollen,253,NA,Vascular plants,pollen,Ranunculus undiff.,UPHE,71,1
NISP,NA,pollen,271,NA,Vascular plants,pollen,Salix,TRSH,188,3
NISP,NA,pollen,275,NA,Vascular plants,pollen,Sambucus,TRSH,7,1
NISP,NA,pollen,283,NA,Vascular plants,pollen,Scheuchzeria palustris,AQVP,4,1
NISP,NA,pollen,285,NA,Vascular plants,pollen,Sedum,UPHE,4,1
NISP,NA,pollen,293,NA,Vascular plants,pollen,Sparganium-type,AQVP,62,1
NISP,NA,pollen,300,NA,Vascular plants,pollen,Thalictrum,UPHE,90,3
NISP,NA,pollen,302,NA,Vascular plants,pollen,Tilia,TRSH,137,2
NISP,NA,pollen,309,NA,Vascular plants,pollen,Typha latifolia,AQVP,74,2
NISP,NA,pollen,310,NA,Vascular plants,pollen,Ulmus,TRSH,215,3
NISP,NA,pollen,311,NA,Vascular plants,pollen,Apiaceae,UPHE,71,1
NISP,NA,pollen,316,NA,Vascular plants,pollen,Utricularia,AQVP,2,1
NISP,NA,pollen,317,NA,Vascular plants,pollen,Vaccinium,TRSH,47,1
NISP,NA,pollen,330,NA,Vascular plants,pollen,Alnus,TRSH,64,1
NISP,NA,pollen,338,NA,Vascular plants,pollen,Acer,TRSH,24,2
NISP,NA,pollen,349,NA,Vascular plants,pollen,Bidens,UPHE,1,1
NISP,NA,pollen,355,NA,Vascular plants,pollen,Rosaceae undiff.,UPHE,46,1
NISP,NA,pollen,369,NA,Vascular plants,pollen,Fraxinus,TRSH,54,1
NISP,NA,pollen,385,NA,Vascular plants,pollen,Pinus,TRSH,227,3
