taxonid,variablename,harmonizedname
338,Acer,Acer
820,Achillea-type,Achillea
330,Alnus,Alnus
1299,Alnus glutinosa,Alnus
391,Amaranthaceae,Amaranthaceae
1142,Anemone,Anemone
5145,Anemone nemorosa,Anemone
1161,Anemone-type,Anemone
3438,Anthemis-type,Anthemis
311,Apiaceae,Apiaceae
1172,Apiaceae undiff.,Apiaceae
3832,Apium-type,Apium
3837,Arctium,Arctium
568,Arctostaphylos uva-ursi,Arctostaphylos
569,Armeria maritima,Armeria
25,Artemisia,Artemisia
418,Asteroideae,Asteroideae
3439,Aster-type,Aster
415,Avena/Triticum,Avena/Triticum
29,Betula,Betula
3208,Betula nana,Betula
1011,Betula undiff.,Betula
349,Bidens,Bidens
705,Bistorta vivipara,Bistorta
326,Botryococcus,Botryococcus
420,Brassicaceae,Brassicaceae
1168,Bryophyta,Bryophyta
9773,Calluna,Calluna
2897,Calluna vulgaris,Calluna
2944,Caltha palustris,Caltha
585,Caltha-type,Caltha
813,Campanula,Campanula
586,Campanula-type,Campanula
5823,Cannabis-type,Cannabis
2460,Carduus,Carduus
5064,Carex-type,Carex
1429,Carpinus,Carpinus
1319,Carpinus betulus,Carpinus
45,Caryophyllaceae,Caryophyllaceae
1013,Caryophyllaceae undiff.,Caryophyllaceae
1336,Centaurea cyanus,Centaurea
4001,Centaurea jacea-type,Centaurea
3441,Centaurea scabiosa,Centaurea
999,Cerastium-type,Cerastium
1062,Charcoal,Charcoal
160,Cichorioideae,Cichorioideae
821,Circaea,Circaea
4175,Cornus suecica,Cornus
67,Corylus,Corylus
1316,Corylus avellana,Corylus
1430,Crataegus,Crataegus
74,Cyperaceae,Cyperaceae
4221,Daucus-type,Daucus
2549,Dianthus-type,Dianthus
171,Diphasiastrum complanatum-type,Diphasiastrum
4235,Drosera rotundifolia/D. anglica,Drosera
4047,Dryas octopetala,Dryas
83,Dryopteris-type,Dryopteris
86,Empetrum,Empetrum
3572,Ephedra distachya-type,Ephedra
3578,Ephedra fragilis-type,Ephedra
90,Epilobium,Epilobium
91,Equisetum,Equisetum
4252,Erica tetralix,Erica
46468,Ericaceae cf. Vaccinium,Ericaceae
909,Ericaceae undiff.,Ericaceae
157,Fabaceae undiff.,Fabaceae
1324,Fagopyrum esculentum,Fagopyrum
107,Fagus,Fagus
1320,Fagus sylvatica,Fagus
1428,Filipendula,Filipendula
2322,Frangula alnus,Frangula
369,Fraxinus,Fraxinus
3579,Fraxinus excelsior,Fraxinus
115,Fungi undiff.,Fungi
1416,Galium-type,Galium
3449,Genista-type,Genista
2270,Gentiana pneumonanthe,Gentiana
120,Geranium,Geranium
121,Geum-type,Geum
5004,Gymnocarpium dryopteris,Gymnocarpium
4359,Gypsophila,Gypsophila
4367,Hedera helix,Hedera
451,Hedysarum,Hedysarum
1260,Helianthemum,Helianthemum
2537,Heracleum,Heracleum
1306,Hippophaë rhamnoides,Hippophaë
3705,Hordeum-type,Hordeum
4385,Hornungia-type,Hornungia
806,Humulus/Cannabis,Humulus/Cannabis
