units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
cm^3,NA,volume,276,NA,Laboratory analyses,volume,Sample quantity,LABO,73,1
concentration,NA,concentration,63,NA,Laboratory analyses,concentration,Pollen concentration,LABO,12,1
g,NA,mass,276,NA,Laboratory analyses,mass,Sample quantity,LABO,53,1
grains/tablet,NA,concentration,930,NA,Laboratory analyses,concentration,Lycopodium tablets,LABO,92,3
ml,NA,volume,276,NA,Laboratory analyses,volume,Sample quantity,LABO,44,3
NISP,reworked,pollen/spore,312,NA,Unidentified palynomorphs,pollen/spore,Indeterminable,UNID,55,2
NISP,NA,ascospore,1489,NA,Fungi,ascospore,Sporormiella,FUNG,14,1
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,59,2
NISP,NA,colony,326,NA,Algae,colony,Botryococcus,ALGA,77,2
NISP,NA,colony,33383,NA,Algae,colony,Pseudopediastrum boryanum,ALGA,26,1
NISP,NA,colony,33398,NA,Algae,colony,Monactinus simplex,ALGA,17,1
NISP,NA,concentration,63,NA,Laboratory analyses,concentration,Pollen concentration,LABO,61,2
NISP,NA,concentration,1305,NA,Laboratory analyses,concentration,Spike,LABO,12,2
NISP,NA,concentration,5640,NA,Laboratory analyses,concentration,Pollen accumulation rate,LABO,73,1
NISP,NA,counted,932,NA,Laboratory analyses,counted,Lycopodium spike,LABO,214,2
NISP,NA,counted,1305,NA,Laboratory analyses,counted,Spike,LABO,5,1
NISP,NA,cyst,628,NA,Dinoflagellates,cyst,Dinoflagellata undiff.,DINO,47,1
NISP,NA,cyst,778,NA,Dinoflagellates,cyst,Dinoflagellata,DINO,40,3
NISP,NA,cyst,5469,NA,Acritarchs,cyst,Pseudoschizaea,ACRI,4,1
NISP,NA,cyst,34105,NA,Protista undiff.,cyst,Tintinnidiidae,PROT,45,1
NISP,NA,cyst,46057,NA,Dinoflagellates,cyst,Dinoflagellata undiff. (cyst),DINO,1,1
NISP,NA,egg/remains,2186,NA,Crustaceans undiff.,egg/remains,Copepoda,COPE,21,1
NISP,NA,filament,33383,NA,Algae,NA,Pseudopediastrum boryanum,ALGA,4,1
NISP,NA,filament/cell,202,NA,Algae,filament/cell,Pediastrum,ALGA,117,1
NISP,NA,filament/cell,326,NA,Algae,filament/cell,Botryococcus,ALGA,62,1
NISP,NA,filament/cell,3498,NA,Algae,filament/cell,Coelastrum,ALGA,7,1
NISP,NA,filament/cell,29123,NA,Algae,filament/cell,Transeauina,ALGA,1,1
NISP,NA,filament/cell,33383,NA,Algae,filament/cell,Pseudopediastrum boryanum,ALGA,7,1
NISP,NA,filament/cell,33398,NA,Algae,filament/cell,Monactinus simplex,ALGA,12,2
NISP,NA,filament/cell,46354,NA,Algae,filament/cell,Scenedesmus ecornis,ALGA,2,1
NISP,NA,inner lining,620,NA,Foraminifera,inner lining,Foraminifera,FORM,48,1
NISP,NA,non-pollen palynomorph,37488,NA,Unidentified palynomorphs,non-pollen palynomorph,"Unknown (type 119, HdV)",UNID,7,2
NISP,NA,number,63,NA,Laboratory analyses,number,Pollen concentration,LABO,73,1
NISP,NA,oocyte,5418,NA,Flatworms,oocyte,Rhabdocoela,FLWO,26,1
NISP,NA,oocyte,32999,NA,Flatworms,oocyte,Turbellaria,FLWO,10,2
NISP,NA,palynomorph,1488,NA,Algae,palynomorph,Spirogyra,ALGA,1,1
NISP,NA,palynomorph,1761,NA,Algae,palynomorph,Zygnemataceae undiff.,ALGA,2,1
NISP,NA,palynomorph,2817,NA,Algae,palynomorph,Algae undiff.,ALGA,5,1
NISP,NA,palynomorph,5142,NA,Algae,palynomorph,Tetraëdron,ALGA,6,1
NISP,NA,palynomorph,5418,NA,Flatworms,palynomorph,Rhabdocoela,FLWO,1,1
NISP,NA,palynomorph,5469,NA,Acritarchs,palynomorph,Pseudoschizaea,ACRI,6,1
NISP,NA,palynomorph,5555,NA,Algae,palynomorph,Gloeotrichia,ALGA,6,1
NISP,NA,palynomorph,31308,NA,Protista undiff.,palynomorph,Blepharisma,PROT,2,2
NISP,NA,palynomorph,47418,NA,Dinoflagellates,palynomorph,Dinoflagellate (Braun),DINO,8,1
NISP,NA,pollen,1,NA,Vascular plants,pollen,Abies,TRSH,200,7
NISP,NA,pollen,2,NA,Vascular plants,pollen,Acalypha,UPHE,9,5
NISP,NA,pollen,11,NA,Vascular plants,pollen,Aesculus,TRSH,4,1
NISP,NA,pollen,12,NA,Vascular plants,pollen,Allium,UPHE,54,4
NISP,NA,pollen,23,NA,Vascular plants,pollen,Arceuthobium,TRSH,15,1
NISP,NA,pollen,24,NA,Vascular plants,pollen,Armeria,UPHE,18,2
NISP,NA,pollen,25,NA,Vascular plants,pollen,Artemisia,UPHE,1158,34
NISP,NA,pollen,29,NA,Vascular plants,pollen,Betula,TRSH,179,14
NISP,NA,pollen,32,NA,Vascular plants,pollen,Boraginaceae,UPHE,155,14
NISP,NA,pollen,40,NA,Vascular plants,pollen,Caltha,AQVP,3,1
NISP,NA,pollen,41,NA,Vascular plants,pollen,Campanulaceae undiff.,UPHE,2,1
NISP,NA,pollen,42,NA,Vascular plants,pollen,Cannabaceae sensu stricto,UPHE,1,1
NISP,NA,pollen,43,NA,Vascular plants,pollen,Caprifoliaceae undiff.,TRSH,2,1
NISP,NA,pollen,44,NA,Vascular plants,pollen,Carya,TRSH,50,5
NISP,NA,pollen,45,NA,Vascular plants,pollen,Caryophyllaceae,UPHE,1174,29
NISP,NA,pollen,47,NA,Vascular plants,pollen,Castanea,TRSH,38,6
NISP,NA,pollen,49,NA,Vascular plants,pollen,Celtis,TRSH,108,11
NISP,NA,pollen,54,NA,Vascular plants,pollen,Amaranthaceae undiff.,UPHE,140,3
NISP,NA,pollen,55,NA,Vascular plants,pollen,Cistaceae,UPHE,51,3
NISP,NA,pollen,57,NA,Vascular plants,pollen,Cladium,AQVP,3,1
NISP,NA,pollen,61,NA,Vascular plants,pollen,Asteraceae undiff.,UPHE,184,4
NISP,NA,pollen,64,NA,Vascular plants,pollen,Pinaceae undiff.,TRSH,7,3
NISP,NA,pollen,67,NA,Vascular plants,pollen,Corylus,TRSH,181,19
NISP,NA,pollen,68,NA,Vascular plants,pollen,Crassulaceae,UPHE,56,5
NISP,NA,pollen,69,NA,Vascular plants,pollen,Crataegus-type,TRSH,67,2
NISP,NA,pollen,70,NA,Vascular plants,pollen,Brassicaceae undiff.,UPHE,121,4
NISP,NA,pollen,72,NA,Vascular plants,pollen,Cupressaceae,TRSH,163,5
NISP,NA,pollen,73,NA,Vascular plants,pollen,Cuscuta,UPHE,27,5
NISP,NA,pollen,74,NA,Vascular plants,pollen,Cyperaceae,UPHE,1470,40
NISP,NA,pollen,80,NA,Vascular plants,pollen,Dodonaea,TRSH,157,5
NISP,NA,pollen,84,NA,Vascular plants,pollen,Elaeagnus,TRSH,127,6
NISP,NA,pollen,90,NA,Vascular plants,pollen,Epilobium,UPHE,10,4
NISP,NA,pollen,92,NA,Vascular plants,pollen,Ericaceae,TRSH,239,16
NISP,NA,pollen,93,NA,Vascular plants,pollen,Eriocaulon,AQVP,2,2
NISP,NA,pollen,104,NA,Vascular plants,pollen,Euphorbia,UPHE,231,16
NISP,NA,pollen,106,NA,Vascular plants,pollen,Fagopyrum,UPHE,12,3
NISP,NA,pollen,107,NA,Vascular plants,pollen,Fagus,TRSH,36,8
NISP,NA,pollen,116,NA,Vascular plants,pollen,Galium,UPHE,30,2
NISP,NA,pollen,119,NA,Vascular plants,pollen,Gentianaceae,UPHE,34,5
NISP,NA,pollen,120,NA,Vascular plants,pollen,Geranium,UPHE,40,8
NISP,NA,pollen,125,NA,Vascular plants,pollen,Poaceae undiff.,UPHE,282,5
NISP,NA,pollen,132,NA,Vascular plants,pollen,Hypericum,UPHE,52,4
NISP,NA,pollen,135,NA,Vascular plants,pollen,Ilex,TRSH,22,1
NISP,NA,pollen,136,NA,Vascular plants,pollen,Impatiens,UPHE,5,2
NISP,NA,pollen,138,NA,Vascular plants,pollen,Iridaceae,UPHE,1,1
NISP,NA,pollen,147,NA,Vascular plants,pollen,Juncaceae,UPHE,84,1
NISP,NA,pollen,150,NA,Vascular plants,pollen,Lamiaceae undiff.,UPHE,35,3
NISP,NA,pollen,157,NA,Vascular plants,pollen,Fabaceae undiff.,UPHE,91,6
NISP,NA,pollen,160,NA,Vascular plants,pollen,Cichorioideae,UPHE,959,30
NISP,NA,pollen,161,NA,Vascular plants,pollen,Liliaceae undiff.,UPHE,3,1
NISP,NA,pollen,162,NA,Vascular plants,pollen,Liquidambar,TRSH,32,1
NISP,NA,pollen,164,NA,Vascular plants,pollen,Lonicera,TRSH,157,6
NISP,NA,pollen,180,NA,Vascular plants,pollen,Malvaceae,UPHE,162,12
NISP,NA,pollen,185,NA,Vascular plants,pollen,Moraceae,TRSH,46,1
