taxonid,variablename,harmonizedname,ecologicalgroup,samples,sites
1,Abies,Abies,TRSH,200,7
1580,Acacia,Acacia,TRSH,256,18
37408,Acacia (group I),Acacia,TRSH,31,3
45963,Acacia (group II),Acacia,TRSH,8,2
37409,Acacia (group III),Acacia,TRSH,9,1
46327,Acacia albida,Acacia,TRSH,3,1
43585,Acacia mellifera (smooth),Acacia,TRSH,18,1
20612,Acacia/Albizia,Acacia,TRSH,17,1
338,Acer,Acer,TRSH,377,14
37410,Adansonia,Adansonia,TRSH,1,1
39997,Adenium,Adenium,TRSH,1,1
40292,Adina-type,Adina-type,TRSH,23,1
20613,Aegle marmelos,Aegle marmelos,TRSH,1,1
2499,Aeschynomene,Aeschynomene,TRSH,1,1
47313,Aeschynomene afraspera-type,Aeschynomene,TRSH,1,1
11,Aesculus,Aesculus,TRSH,4,1
37852,Alangium,Alangium,TRSH,1,1
9833,Albizia,Albizia,TRSH,2,1
1708,Alchornea,Alchornea,TRSH,14,4
1822,Allophylus,Allophylus,TRSH,1,1
330,Alnus,Alnus,TRSH,341,20
558,Amelanchier,Amelanchier,TRSH,1,1
347,Anacardiaceae,Anacardiaceae,TRSH,35,4
5382,Andrachne,Andrachne,TRSH,5,2
9841,Antidesma,Antidesma,TRSH,1,1
37854,Aphanamixis-type,Aphanamixis-type,TRSH,1,1
37855,Aporosa,Aporosa,TRSH,10,1
3834,Arbutus,Arbutus,TRSH,154,4
23,Arceuthobium,Arceuthobium,TRSH,15,1
199,Arecaceae,Arecaceae,PALM,4,1
910,Arecaceae undiff.,Arecaceae,PALM,1,1
47403,Arthrocaulon-type,Arthrocaulon-type,TRSH,51,1
20564,Atalantia,Atalantia,TRSH,3,1
5207,Atraphaxis,Atraphaxis,TRSH,14,2
31241,Atraphaxis-type,Atraphaxis,TRSH,2,1
1131,Avicennia,Avicennia,MANG,75,3
20614,Azadirachta indica,Azadirachta indica,TRSH,2,1
36762,Balanites,Balanites,TRSH,75,7
43676,Barbeya oleoides,Barbeya oleoides,TRSH,1,1
37773,Barleria,Barleria,TRSH,1,1
1631,Berberis,Berberis,TRSH,27,4
29,Betula,Betula,TRSH,179,14
1885,Bignoniaceae,Bignoniaceae,TRSH,2,1
3290,Bignoniaceae undiff.,Bignoniaceae,TRSH,1,1
37774,Blepharis,Blepharis,TRSH,104,6
40009,Blepharis-type,Blepharis,TRSH,53,2
9885,Bombax,Bombax,TRSH,1,1
20566,Borassus,Borassus,PALM,6,1
20615,Borassus flabellifer,Borassus,PALM,3,1
36771,Boscia,Boscia,TRSH,20,3
47314,Boscia-type angustifolia,Boscia,TRSH,4,1
47315,Boscia-type salicifolia,Boscia,TRSH,8,1
47405,Boscia/Cadaba,Boscia,TRSH,1,1
28521,Boswellia,Boswellia,TRSH,6,1
2348,Brachystegia,Brachystegia,TRSH,1,1
2353,Bridelia,Bridelia,TRSH,2,2
36774,Brucea,Brucea,TRSH,1,1
37776,Burkea,Burkea,TRSH,2,1
37777,Cadaba,Cadaba,TRSH,17,2
47316,Cadaba-type,Cadaba-type,TRSH,5,1
2331,Caesalpinia-type,Caesalpinia-type,TRSH,4,2
2151,Caesalpinioideae undiff.,Caesalpinioideae undiff.,TRSH,2,2
31396,Calicotome villosa,Calicotome villosa,TRSH,3,1
5181,Calligonum,Calligonum,TRSH,146,9
33651,Calligonum polygonoides,Calligonum polygonoides,TRSH,13,1
5184,Calligonum/Pteropyrum,Calligonum/Pteropyrum,TRSH,8,1
33650,Calligonum/Pteropyrum-type,Calligonum/Pteropyrum-type,TRSH,14,1
2415,Canthium,Canthium,TRSH,1,1
2105,Capparaceae,Capparaceae,TRSH,10,4
36777,Capparaceae undiff.,Capparaceae,TRSH,7,1
3990,Capparis,Capparis,TRSH,27,8
40359,Capparis fascicularis-type,Capparis,TRSH,4,1
42698,Capparis tomentosa-type,Capparis,TRSH,3,1
43701,Capparis/Cadaba,Capparis,TRSH,5,1
394,Caprifoliaceae,Caprifoliaceae,TRSH,3,1
43,Caprifoliaceae undiff.,Caprifoliaceae,TRSH,2,1
20616,Careya/Barringtonia,Careya/Barringtonia,TRSH,2,1
40167,Carissa,Carissa,TRSH,1,1
47317,Carissa spinarum-type,Carissa,TRSH,3,1
1429,Carpinus,Carpinus,TRSH,64,7
1319,Carpinus betulus,Carpinus,TRSH,45,6
1332,Carpinus orientalis,Carpinus,TRSH,180,4
44,Carya,Carya,TRSH,50,5
2056,Cassia,Cassia,TRSH,55,7
1958,Cassia-type,Cassia,TRSH,64,3
20617,Cassia/Senna,Cassia,TRSH,12,1
20568,Cassine,Cassine,TRSH,2,1
47,Castanea,Castanea,TRSH,38,6
2657,Castanea sativa,Castanea,TRSH,1,1
9601,Castanopsis,Castanopsis,TRSH,53,1
2704,Casuarina,Casuarina,TRSH,34,7
28979,Catalpa,Catalpa,TRSH,1,1
45939,Caucanthus-type,Caucanthus-type,TRSH,1,1
2249,Cedrus,Cedrus,TRSH,433,16
3997,Cedrus libani,Cedrus,TRSH,50,2
1562,Celastraceae,Celastraceae,TRSH,12,1
49,Celtis,Celtis,TRSH,108,11
5322,Ceratonia,Ceratonia,TRSH,106,7
3479,Cercis,Cercis,TRSH,168,4
3733,cf. Abies,Abies,TRSH,1,1
40366,cf. Boscia,Boscia,TRSH,3,1
40367,cf. Cadaba,Cadaba,TRSH,17,1
37909,cf. Cadaba/Maerua,Cadaba,TRSH,1,1
40368,cf. Capparis,Capparis,TRSH,4,1
37910,cf. Cayratia,Cayratia,TRSH,1,1
39554,cf. Celastraceae,Celastraceae,TRSH,1,1
2631,cf. Celtis,Celtis,TRSH,12,1
44949,cf. Combretum,Combretum,TRSH,21,1
4473,cf. Loranthaceae,Loranthaceae,TRSH,1,1
2571,cf. Populus,Populus,TRSH,1,1
1075,cf. Rhus,Rhus,TRSH,1,1
4217,cf. Thymelaeaceae,Thymelaeaceae,TRSH,2,1
1113,cf. Trema,Trema,TRSH,1,1
20618,Chloroxylon swietenia,Chloroxylon swietenia,TRSH,2,1
40320,Chrozophora brocchiana-type,Chrozophora brocchiana-type,TRSH,25,1
