depth	min	max	median	wmean
2	-47.8	-0.8	-35.7	-32.4
5	-47.8	68.3	-18.8	-10.7
10	-33.3	124.2	21.3	28.2
15	-13.9	176.3	59.1	66.1
17	-0.6	191.8	75.3	81.5
21	18	232.2	106.4	112.2
30	67.2	308	176.8	181.1
35	98.8	344.6	217.9	220
40	133	380.9	258.1	258.3
50	202.5	452.7	337.7	335.3
60	279.7	510.6	415.2	411.5
70	364.7	626.3	506.1	504.6
90	561.5	789.4	696.7	689.7
105	663	903.6	797.5	795.2
120	784.9	1000.4	901.6	900.1
130	871.5	1056.3	966.1	969.9
140	950.7	1126.2	1034.4	1037
150	1008.3	1187.9	1100.4	1102
160	1062.8	1255.8	1159.2	1160.9
180	1184	1375.4	1272.2	1274.3
210	1380.9	1585.1	1483.6	1483.2
220	1446.4	1686.3	1561.2	1563.1
240	1586.3	1874.7	1724.5	1727.8
271	1810.7	2219.2	1999.5	2005.3
294	1990.3	2458.3	2201.5	2211.3
321	2209.9	2697.7	2433.9	2453.4
330	2279	2790.3	2517.4	2537.7
345	2409	2995.7	2672.5	2689.7
