"labid","age","error","depth","cc"
"Core top_18486",-60,20,0,0
"European settlement horizon_18487",100,20,8.5,0
"Radiocarbon_18488",680,40,28.5,1
"Radiocarbon_18489",820,40,41.5,1
"Radiocarbon_18490",1070,50,55.5,1
"Radiocarbon_18491",1730,35,58.5,1
"Radiocarbon_18492",2060,50,63.5,1
"Radiocarbon_18493",2630,50,77.5,1
"Radiocarbon_18494",1680,35,82.5,1
"Radiocarbon_18495",3790,50,94.5,1
"Radiocarbon_18496",4237,53,102.5,1
"Radiocarbon_18497",4510,50,103.5,1
"Radiocarbon_18498",4330,40,106.5,1
"Radiocarbon_18499",4370,40,110.5,1
"Radiocarbon_18500",4424,52,116.5,1
"Radiocarbon_18501",4460,40,118.5,1
"Radiocarbon_18502",4650,40,121.5,1
"Radiocarbon_18503",4560,50,122.5,1
"Radiocarbon_18504",4640,40,126.5,1
"Radiocarbon_18505",5540,40,127.5,1
"Radiocarbon_18506",4820,40,131.5,1
"Radiocarbon_18507",5150,40,139.5,1
"Radiocarbon_18508",5810,40,175.5,1
"Radiocarbon_18509",6090,60,219.5,1
