units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,sites,samples
NISP,NA,valve,10152,NA,Diatoms,valve,Achnanthidium minutissimum,DIAT,2,378
NISP,NA,valve,10247,NA,Diatoms,valve,Achnanthes conspicua,DIAT,1,50
NISP,NA,valve,10248,NA,Diatoms,valve,Achnanthes delicatula,DIAT,1,34
NISP,NA,valve,10266,NA,Diatoms,valve,Achnanthes brevipes,DIAT,1,45
NISP,NA,valve,10279,NA,Diatoms,valve,Achnanthes distincta,DIAT,1,6
NISP,NA,valve,10306,NA,Diatoms,valve,Achnanthes spp.,DIAT,4,454
NISP,NA,valve,10327,NA,Diatoms,valve,Amphora veneta,DIAT,3,585
NISP,NA,valve,10330,NA,Diatoms,valve,Amphora coffeaeformis,DIAT,2,66
NISP,NA,valve,10337,NA,Diatoms,valve,Amphora libyca,DIAT,2,20
NISP,NA,valve,10342,NA,Diatoms,valve,Amphora pediculus,DIAT,2,376
NISP,NA,valve,10369,NA,Diatoms,valve,Anomoeoneis sphaerophora,DIAT,2,407
NISP,NA,valve,10374,NA,Diatoms,valve,Anomoeoneis sp. 1 ?,DIAT,1,1
NISP,NA,valve,10385,NA,Diatoms,valve,Aulacoseira crenulata,DIAT,1,1
NISP,NA,valve,10390,NA,Diatoms,valve,Aulacoseira distans,DIAT,1,6
NISP,NA,valve,10391,NA,Diatoms,valve,Aulacoseira lirata,DIAT,1,4
NISP,NA,valve,10395,NA,Diatoms,valve,Aulacoseira granulata,DIAT,4,520
NISP,NA,valve,10396,NA,Diatoms,valve,Aulacoseira italica,DIAT,1,3
NISP,NA,valve,10397,NA,Diatoms,valve,Aulacoseira alpigena,DIAT,1,5
NISP,NA,valve,10404,NA,Diatoms,valve,Caloneis bacillum,DIAT,3,395
NISP,NA,valve,10445,NA,Diatoms,valve,Chaetoceros spp.,DIAT,2,75
NISP,NA,valve,10448,NA,Diatoms,valve,Cocconeis placentula,DIAT,6,1161
NISP,NA,valve,10452,NA,Diatoms,valve,Cocconeis disculus,DIAT,1,2
NISP,NA,valve,10458,NA,Diatoms,valve,Cocconeis pseudothumensis,DIAT,1,10
NISP,NA,valve,10461,NA,Diatoms,valve,Cocconeis neothumensis,DIAT,1,2
NISP,NA,valve,10462,NA,Diatoms,valve,Cocconeis spp.,DIAT,3,214
NISP,NA,valve,10479,NA,Diatoms,valve,Cyclotella meneghiniana,DIAT,7,973
NISP,NA,valve,10482,NA,Diatoms,valve,Cyclotella stelligera,DIAT,3,544
NISP,NA,valve,10508,NA,Diatoms,valve,Cyclotella spp.,DIAT,2,382
NISP,NA,valve,10524,NA,Diatoms,valve,Cymbella cistula,DIAT,3,626
NISP,NA,valve,10529,NA,Diatoms,valve,Cymbella microcephala,DIAT,1,385
NISP,NA,valve,10537,NA,Diatoms,valve,Cymbella pusilla,DIAT,2,458
NISP,NA,valve,10593,NA,Diatoms,valve,Cymbella cymbiformis,DIAT,2,171
NISP,NA,valve,10614,NA,Diatoms,valve,Cymbella spp.,DIAT,3,115
NISP,NA,valve,10622,NA,Diatoms,valve,Denticula elegans,DIAT,2,390
NISP,NA,valve,10625,NA,Diatoms,valve,Denticula subtilis,DIAT,1,34
NISP,NA,valve,10628,NA,Diatoms,valve,Denticula kuetzingii,DIAT,1,1
NISP,NA,valve,10631,NA,Diatoms,valve,Diatoma mesodon,DIAT,1,1
NISP,NA,valve,10648,NA,Diatoms,valve,Diploneis subovalis,DIAT,1,1
NISP,NA,valve,10662,NA,Diatoms,valve,Diploneis spp.,DIAT,3,136
NISP,NA,valve,10668,NA,Diatoms,valve,Entomoneis spp.,DIAT,1,9
