variablename,sites,samples,replacement
Achnanthes amoena,1,12,Achnanthes 
Achnanthes atacamae,1,8,Achnanthes 
Achnanthes atacamae FRITZ,1,57,Achnanthes 
Achnanthes brevipes,1,45,Achnanthes 
Achnanthes brevipes var. brevipes,1,6,Achnanthes 
Achnanthes brevipes var. intermedia,1,14,Achnanthes 
Achnanthes cf. conspicua,1,318,Achnanthes 
Achnanthes cf. exigua,1,19,Achnanthes 
Achnanthes cf. saccula,1,29,Achnanthes 
Achnanthes conspicua,1,50,Achnanthes 
Achnanthes delicatula,1,34,Achnanthes 
Achnanthes distincta,1,6,Achnanthes 
Achnanthes spp.,4,454,Achnanthes 
Achnanthes spp.,1,51,Achnanthes 
Achnanthidium minutissimum,2,378,Achnanthidium 
Achnanthidium spp.,1,1,Achnanthidium 
Amphora atacamae,1,1,Amphora 
Amphora cf. libyca,1,16,Amphora 
Amphora cf. libyca,1,109,Amphora 
Amphora coffeaeformis,2,66,Amphora 
Amphora copulata (libyca),1,443,Amphora 
Amphora libyca,2,20,Amphora 
Amphora pediculus,2,376,Amphora 
Amphora spp.,2,109,Amphora 
Amphora veneta,3,585,Amphora 
Anomoeoneis sp. 1 ?,1,1,Anomoeoneis 
Anomoeoneis sphaerophora,2,407,Anomoeoneis 
Aulacoseira alpigena,1,5,Aulacoseira 
Aulacoseira crenulata,1,1,Aulacoseira 
Aulacoseira distans,1,6,Aulacoseira 
Aulacoseira granulata,4,520,Aulacoseira 
Aulacoseira granulata,1,15,Aulacoseira 
Aulacoseira italica,1,3,Aulacoseira 
Aulacoseira lirata,1,4,Aulacoseira 
Aulacoseira spp.,2,11,Aulacoseira 
Caloneis bacillum,3,395,Caloneis 
Caloneis bacillum,1,10,Caloneis 
Campylodiscus clypeus,1,2,Campylodiscus 
Campylodiscus sp.1 ?,1,1,Campylodiscus 
Campylodiscus spp.,1,17,Campylodiscus 
Campylodiscus spp.,1,24,Campylodiscus 
Cavinula pseudoscutiformis,1,2,Cavinula 
Cavinula sp. 1 ?,2,2,Cavinula 
Cavinula sp. 1 ?,1,1,Cavinula 
cf. Cavinula mollicula,1,381,cf. 
Chaetoceros muelleri,1,22,Chaetoceros 
Chaetoceros spp.,2,75,Chaetoceros 
Cocconeis disculus,1,2,Cocconeis 
Cocconeis neothumensis,1,2,Cocconeis 
Cocconeis placentula,6,1161,Cocconeis 
Cocconeis placentula,1,130,Cocconeis 
Cocconeis pseudothumensis,1,10,Cocconeis 
Cocconeis scutellum var. parva,1,1,Cocconeis 
Cocconeis spp.,3,214,Cocconeis 
Cocconeis spp.,1,226,Cocconeis 
Cocconeis titicacaensis,2,17,Cocconeis 
Cocconeis titicacaensis,1,1,Cocconeis 
Craticula pampeana,1,407,Craticula 
Cyclostephanos andinus,5,931,Cyclostephanos 
Cyclostephanos andinus,1,261,Cyclostephanos 
Cyclostephanos spp.,1,16,Cyclostephanos 
Cyclotella cryptica,1,5,Cyclotella 
Cyclotella meneghiniana,7,973,Cyclotella 
Cyclotella meneghiniana,1,289,Cyclotella 
Cyclotella sp. 1,1,1,Cyclotella 
Cyclotella spp.,2,382,Cyclotella 
Cyclotella stelligera,3,544,Cyclotella 
Cyclotella stelligera (complex),1,80,Cyclotella 
Cymbella cf. cymbiformis,1,381,Cymbella 
Cymbella cistula,3,626,Cymbella 
Cymbella cymbiformis,2,171,Cymbella 
Cymbella microcephala,1,385,Cymbella 
Cymbella pusilla,2,458,Cymbella 
Cymbella sp. ind. A FRITZ,1,16,Cymbella 
Cymbella spp.,3,115,Cymbella 
Cymbella spp.,1,114,Cymbella 
Denticula elegans,2,390,Denticula 
Denticula kuetzingii,1,1,Denticula 
Denticula seriata FRITZ,1,25,Denticula 
Denticula subtilis,1,34,Denticula 
Diatoma mesodon,1,1,Diatoma 
Diploneis spp.,3,136,Diploneis 
Diploneis spp.,1,141,Diploneis 
Diploneis subovalis,1,1,Diploneis 
Discostella stelligera,3,193,Discostella 
Discostella stelligera,1,156,Discostella 
Encyonema minutum,1,5,Encyonema 
Encyonema rumrichae,1,1,Encyonema 
Encyonopsis microcephala,1,94,Encyonopsis 
Encyonopsis spp.,1,2,Encyonopsis 
Entomoneis cf. paludosa subsalina,1,8,Entomoneis 
Entomoneis cf. paludosa subsalina,1,8,Entomoneis 
Entomoneis cf. pseudoduplex,1,1,Entomoneis 
Entomoneis cf. pseudoduplex,1,6,Entomoneis 
Entomoneis spp.,1,9,Entomoneis 
Eolimna cf. minima,1,379,Eolimna 
Epithemia adnata,4,772,Epithemia 
Epithemia argus,1,91,Epithemia 
Epithemia spp.,2,279,Epithemia 
Epithemia spp.,1,285,Epithemia 
Epithemia turgida,1,2,Epithemia 
Eunotia spp.,2,4,Eunotia 
Eunotia spp.,1,3,Eunotia 
Fallacia pygmaea,1,8,Fallacia 
Fragilaria biceps,1,441,Fragilaria 
Fragilaria capensis,1,1,Fragilaria 
Fragilaria capucina,1,8,Fragilaria 
Fragilaria capucina var. vaucheriae,1,176,Fragilaria 
