units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,anachronic,pollen/spore,313,NA,Unidentified palynomorphs,pollen/spore,Unknown,UNID,1,1
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,652,16
NISP,NA,colony,326,NA,Algae,colony,Botryococcus,ALGA,296,8
NISP,NA,cyst,778,NA,Dinoflagellates,cyst,Dinoflagellata,DINO,59,1
NISP,NA,fragment,1062,NA,Charcoal,fragment,Charcoal,CHAR,152,2
NISP,NA,palynomorph,5391,NA,Algae,palynomorph,Zygnema-type,ALGA,81,1
NISP,NA,palynomorph,30435,NA,Unidentified palynomorphs,palynomorph,Unknown (inaperturate),UNID,47,1
NISP,NA,pollen,1,NA,Vascular plants,pollen,Abies,TRSH,3192,63
NISP,NA,pollen,8,NA,Vascular plants,pollen,Acer spicatum,TRSH,1,1
NISP,NA,pollen,12,NA,Vascular plants,pollen,Allium,UPHE,1,1
NISP,NA,pollen,14,NA,Vascular plants,pollen,Alnus viridis-type,TRSH,660,11
NISP,NA,pollen,15,NA,Vascular plants,pollen,Alnus undiff.,TRSH,326,8
NISP,NA,pollen,16,NA,Vascular plants,pollen,Ambrosia-type,UPHE,189,21
NISP,NA,pollen,20,NA,Vascular plants,pollen,Spermatophyta undiff. (aquatics),AQVP,24,1
NISP,NA,pollen,23,NA,Vascular plants,pollen,Arceuthobium,TRSH,308,32
NISP,NA,pollen,25,NA,Vascular plants,pollen,Artemisia,UPHE,2494,67
NISP,NA,pollen,29,NA,Vascular plants,pollen,Betula,TRSH,1662,61
NISP,NA,pollen,34,NA,Vascular plants,pollen,Brasenia schreberi,AQVP,128,8
NISP,NA,pollen,40,NA,Vascular plants,pollen,Caltha,AQVP,71,4
NISP,NA,pollen,43,NA,Vascular plants,pollen,Caprifoliaceae undiff.,TRSH,1,1
NISP,NA,pollen,45,NA,Vascular plants,pollen,Caryophyllaceae,UPHE,385,37
NISP,NA,pollen,48,NA,Vascular plants,pollen,Ceanothus,TRSH,113,12
NISP,NA,pollen,49,NA,Vascular plants,pollen,Celtis,TRSH,3,2
NISP,NA,pollen,54,NA,Vascular plants,pollen,Amaranthaceae undiff.,UPHE,285,11
NISP,NA,pollen,61,NA,Vascular plants,pollen,Asteraceae undiff.,UPHE,617,19
NISP,NA,pollen,62,NA,Vascular plants,pollen,Iva annua-type,UPHE,5,2
NISP,NA,pollen,64,NA,Vascular plants,pollen,Pinaceae undiff.,TRSH,169,5
NISP,NA,pollen,65,NA,Vascular plants,pollen,Cornus undiff.,TRSH,5,1
NISP,NA,pollen,67,NA,Vascular plants,pollen,Corylus,TRSH,574,33
NISP,NA,pollen,72,NA,Vascular plants,pollen,Cupressaceae,TRSH,2423,49
NISP,NA,pollen,74,NA,Vascular plants,pollen,Cyperaceae,UPHE,2643,62
NISP,NA,pollen,81,NA,Vascular plants,pollen,Drosera,AQVP,4,4
NISP,NA,pollen,84,NA,Vascular plants,pollen,Elaeagnus,TRSH,4,1
NISP,NA,pollen,85,NA,Vascular plants,pollen,Elaeagnaceae,TRSH,2,1
NISP,NA,pollen,90,NA,Vascular plants,pollen,Epilobium,UPHE,39,15
NISP,NA,pollen,92,NA,Vascular plants,pollen,Ericaceae,TRSH,543,40
NISP,NA,pollen,94,NA,Vascular plants,pollen,Eriogonum,UPHE,188,13
NISP,NA,pollen,104,NA,Vascular plants,pollen,Euphorbia,UPHE,2,2
NISP,NA,pollen,112,NA,Vascular plants,pollen,Fraxinus nigra-type,TRSH,5,1
NISP,NA,pollen,116,NA,Vascular plants,pollen,Galium,UPHE,221,22
NISP,NA,pollen,117,NA,Vascular plants,pollen,Gaultheria,TRSH,4,1
NISP,NA,pollen,119,NA,Vascular plants,pollen,Gentianaceae,UPHE,39,4
NISP,NA,pollen,120,NA,Vascular plants,pollen,Geranium,UPHE,1,1
NISP,NA,pollen,127,NA,Vascular plants,pollen,Angiospermae undiff. (herbs),UPHE,51,5
NISP,NA,pollen,129,NA,Vascular plants,pollen,Hippuris vulgaris,AQVP,5,3
NISP,NA,pollen,136,NA,Vascular plants,pollen,Impatiens,UPHE,3,2
NISP,NA,pollen,138,NA,Vascular plants,pollen,Iridaceae,UPHE,1,1
NISP,NA,pollen,147,NA,Vascular plants,pollen,Juncaceae,UPHE,3,1
NISP,NA,pollen,153,NA,Vascular plants,pollen,Larix,TRSH,58,4
NISP,NA,pollen,155,NA,Vascular plants,pollen,Rhododendron subsect. Ledum,TRSH,10,1
NISP,NA,pollen,157,NA,Vascular plants,pollen,Fabaceae undiff.,UPHE,2,1
NISP,NA,pollen,159,NA,Vascular plants,pollen,Lemnoideae,AQVP,10,3
NISP,NA,pollen,160,NA,Vascular plants,pollen,Cichorioideae,UPHE,242,34
NISP,NA,pollen,161,NA,Vascular plants,pollen,Liliaceae undiff.,UPHE,14,1
NISP,NA,pollen,164,NA,Vascular plants,pollen,Lonicera,TRSH,20,7
NISP,NA,pollen,176,NA,Vascular plants,pollen,Lycopus-type,UPHE,6,1
NISP,NA,pollen,180,NA,Vascular plants,pollen,Malvaceae,UPHE,14,3
NISP,NA,pollen,182,NA,Vascular plants,pollen,Menyanthes trifoliata,AQVP,80,12
NISP,NA,pollen,186,NA,Vascular plants,pollen,Morus,TRSH,1,1
NISP,NA,pollen,188,NA,Vascular plants,pollen,Myriophyllum,AQVP,220,25
NISP,NA,pollen,190,NA,Vascular plants,pollen,Nuphar,AQVP,621,35
NISP,NA,pollen,192,NA,Vascular plants,pollen,Nymphaea,AQVP,3,3
NISP,NA,pollen,193,NA,Vascular plants,pollen,Nyssa,TRSH,10,1
NISP,NA,pollen,197,NA,Vascular plants,pollen,Ostrya/Carpinus,TRSH,1,1
NISP,NA,pollen,198,NA,Vascular plants,pollen,Oxyria digyna,UPHE,12,2
