variablename,replacement
Abies,Abies
Abies lasiocarpa,Abies
Abies undiff.,Abies
Abronia latifolia,Other
Acer,Acer
Acer circinatum,Acer
Acer circinatum-type,Acer
Acer glabrum,Acer
Acer macrophyllum,Acer
Acer macrophyllum-type,Acer
Acer spicatum,Acer
Aconitum-type,Other
Agoseris glauca-type,Other
Allium,Other
Alnus,Alnus
Alnus rhombifolia-type,Alnus
Alnus rubra,Alnus
Alnus rubra-type,Alnus
Alnus undiff.,Alnus
Alnus viridis subsp. crispa,Alnus
Alnus viridis subsp. crispa-type,Alnus
Alnus viridis subsp. sinuata,Alnus
Alnus viridis subsp. sinuata-type,Alnus
Alnus viridis-type,Alnus
Amaranthaceae,Other
Amaranthaceae undiff.,Other
Ambrosia,Ambrosia
Ambrosia-type,Ambrosia
Amelanchier,
Amelanchier-type,
Amorpha,
Amsinckia,
Androsace,
Angelica-type,
Antennaria,
Anthemis,
Apiaceae,
Apiaceae undiff.,
Aquilegia,
Arbutus,
Arceuthobium,
Arctostaphylos,
Arecaceae,Exotic
Arenaria,
Artemisia,
Aster,
Asteraceae,
Asteraceae (high spine),
Asteraceae undiff.,
Asteroideae,
Asteroideae undiff.,
Astragalus,
Berberidaceae,
Berberis,
Berberis-type,
Betula,
Betula/Corylus,
Betulaceae,
Bistorta,
Bistorta bistortoides,
Bistorta bistortoides-type,
Bistorta officinalis-type,
Bistorta vivipara,
Brasenia,Aquatic
Brasenia schreberi,Aquatic
Brassica,
Brassicaceae,
Caltha,Aquatic
Caltha palustris,Aquatic
Caltha-type,
Camassia,
Campanula,
Campanulaceae,
Caprifoliaceae,
Caprifoliaceae sensu lato undiff.,
Caprifoliaceae undiff.,
Carex,
Caryophyllaceae,
Caryophyllaceae undiff.,
Ceanothus,
Ceanothus-type,
Celtis,
Centaurea-type,
Cercocarpus,
Cercocarpus-type,
cf. Callitriche,Aquatic
cf. Dodecatheon,
cf. Liliaceae,
cf. Taxus,
Chenopodium,
Chenopodium-type,
Chrysolepis,
Chrysolepis-type,
Chrysolepis/Lithocarpus,
Cichorioideae,
Cichorioideae undiff.,
Cichorium-type,
Cicuta-type,
Claytonia,
Collinsia,
Convolvulaceae,
Coptis aspleniifolia,
Cornaceae,
Cornus,
Cornus canadensis,
Cornus canadensis-type,
Cornus sericea,
Cornus sericea-type,
Cornus undiff.,
Corylus,
Corylus-type,
Cupressaceae,
Cupressaceae/Taxaceae undiff.,
Cyperaceae,
Cyperaceae undiff.,
Dalea,
Delphinium,
Delphinium-type,
Dodecatheon,
Drosera,Aquatic
Drosera anglica-type,Aquatic
Dryas,
Elaeagnaceae,
Elaeagnus,
Elaeagnus commutata,
Empetrum nigrum,
Empetrum-type,
Ephedra,
Epilobium,
Epilobium-type,
Ericaceae,
Ericaceae undiff.,
Ericales,
Ericales undiff.,
Erigeron,
Eriogonum,
Eriogonum-type,
Erodium,
Erythranthe guttata,
Eupatorium,
Euphorbia,
Euphorbiaceae,
Fabaceae,
Fabaceae undiff.,
Fagaceae,
Fragaria,
Frangula purshiana-type,
