depth	min	max	median	wmean
1.5	-47.7	-31.1	-39.3	-39.2
19.5	-29.3	124.4	41.1	43.1
49.5	-2.8	387.5	175.5	180.2
90	310.4	504.9	407.7	405.6
130	454.1	1307	778	811.9
170	644.9	2071.4	1218.5	1270.4
210	925.3	2633.7	1688.7	1726.6
270	1653.9	3123.7	2497.6	2470.7
290	1972.4	3225.8	2750.1	2714
310	2371.2	3356.6	2968.4	2942.3
330	2866.9	3431	3157	3159.4
350	3067.4	3711	3372	3379.6
370	3220.8	3822.1	3526.2	3525.9
390	3298.1	4043.7	3670.9	3672.8
430	3620.2	4262.6	3963.6	3959.7
470	4112.2	4517.4	4284.8	4291.4
490	4202.8	4813.2	4462.2	4477.3
530	4418.1	5350.1	4867.3	4871.6
570	4753.3	5866.6	5273.8	5287.7
590	4899.5	6005.1	5523.2	5505.6
609	5277.8	6157.1	5772.9	5762.8
620	5648.6	6250.9	5940.9	5943.3
630	5922.5	6377.5	6113.1	6109
650	6078.3	6865.4	6427.3	6439.2
670	6936.8	7571	7237.4	7244.6
690	7662.6	8354.6	8060.8	8049.9
710	8642.6	9068.5	8858	8866.7
730	8812.3	10974.7	9621.7	9697.3
750	8861.6	12969.4	10370.9	10524
760	9181.8	13013.9	10691.1	10802.9
770	9318.9	13070.7	11030.5	11083.5
780	9422.8	13117.5	11390.6	11361.8
790	9526.6	13194.3	11714.1	11642
800	9620.3	13342.2	12039.7	11921
803	9843.5	13351.5	12123.1	12011.1
