depth	min	max	median	wmean
1.5	-67	14.3	-27.5	-26.6
7.5	43.2	124.8	83.4	83.9
10.5	90.5	185.7	139.1	139.3
13.5	135.6	248.6	194.4	194.8
16.5	180	314.2	249.9	250.3
19.5	223.9	380.5	305.1	305.5
22.5	267.2	448.1	359.9	360.7
25.5	309.9	516.2	414.8	416
28.5	353.2	584.6	469.9	471.2
31.5	394.5	653.5	525.1	526.5
32.5	408.7	676.2	543.6	544.9
33.5	423.2	699.4	562	563.4
35.5	451.3	745.1	598.6	600.1
36.5	465.3	768.5	617	618.4
37.5	479.8	791.5	635.4	636.9
38.5	493.6	814.7	653.8	655.4
39.5	508.1	837.7	672.3	673.8
40.5	522.5	860.6	690.9	692.2
41.5	536.4	883.6	709.4	710.6
42.5	549.9	907.1	727.9	729
43.5	564.1	930.1	746.1	747.3
44.5	578	953.6	764.6	765.7
45.5	591.7	976.6	783.1	784.2
46.5	606.2	999.8	801.6	802.6
47.5	620.5	1022.6	820	821.1
48.5	633.4	1045.4	838.5	839.5
49.5	647.2	1068.7	857.1	858
50.5	692.8	1114.4	902.5	903.7
51.5	768.5	1183.5	975.4	976.5
52.5	847	1252.6	1048.4	1049.6
53.5	923.6	1321.4	1121	1122.4
54.5	999.2	1390.7	1193.6	1195.3
55.5	1076.3	1459.8	1266.5	1268.2
56.5	1151.7	1527.7	1338.9	1341.2
57.5	1228.5	1596.9	1411.2	1414.2
58.5	1304.7	1665.7	1483.4	1487.2
59.5	1381.3	1734.8	1555.4	1560.2
60.5	1457.6	1803.3	1627.9	1633.1
61.5	1532.6	1872.7	1699.2	1706
62.5	1608.4	1942.3	1771.1	1778.8
63.5	1683.8	2011.8	1842.9	1851.7
65.5	1835.4	2151	1986.5	1997.6
67.5	1985.7	2292.2	2129.8	2143.4
68.5	2060.8	2362.8	2202.1	2216.2
70.5	2211.5	2505.9	2346.1	2362
72.5	2360.2	2652.7	2490.7	2507.9
73.5	2435	2726.3	2562.9	2580.8
75.5	2584.8	2875.5	2707.9	2726.7
77.5	2734.9	3025.5	2852.8	2872.6
79.5	2882.1	3178.1	2997.4	3018.7
80.5	2954.6	3253.1	3069.5	3091.6
81.5	3027.7	3329.4	3142.3	3164.8
82.5	3099.8	3405.2	3214.8	3237.8
83.5	3171.1	3481.8	3287.3	3310.8
84.5	3242.6	3558.2	3359.9	3383.9
86.5	3381.5	3711.4	3505.6	3529.9
87.5	3452.6	3788.7	3577.9	3603
88.5	3522.4	3865.8	3650.4	3675.9
89.5	3592	3943.4	3722.8	3749
90.5	3663.3	4020.3	3795.3	3822.1
91.5	3733.1	4098.6	3867.8	3895.1
92.5	3802.4	4176.2	3940.2	3968
93.5	3871.4	4253.6	4012.4	4041
94.5	3939.7	4331.2	4084.4	4114.1
95.5	4010.1	4408	4157.3	4187.2
96.5	4078.6	4484.7	4229.6	4260.1
97.5	4147.9	4562.1	4302	4333.1
98.5	4216.3	4639.8	4374.6	4406.1
99.5	4286.4	4717.7	4446.8	4479.1
100.5	4343.8	4773.7	4504	4536.1
101.5	4390.3	4810.6	4546.4	4577.4
102.5	4436	4846.5	4589.1	4618.7
103.5	4484.7	4882.2	4631.2	4660
104.5	4528.8	4917.2	4673.1	4701.1
105.5	4576	4953.2	4715.5	4742.3
106.5	4623.2	4990.1	4757.9	4783.7
107.5	4669.2	5024.8	4799.7	4824.8
108.5	4716.3	5061.6	4842.4	4866.1
109.5	4760.9	5098.2	4884.6	4907.4
110.5	4808.7	5133.6	4926.7	4948.3
111.5	4854.8	5170.6	4968.7	4989.8
112.5	4902.3	5205.9	5011.3	5030.9
113.5	4948.4	5243	5053.5	5072.2
114.5	4994.1	5278.7	5095.7	5113.3
115.5	5040.9	5315.1	5137.9	5154.6
116.5	5087.1	5351.1	5180.1	5195.9
117.5	5133.6	5387.3	5222.2	5236.9
118.5	5180.1	5423.9	5264.6	5278.2
119.5	5226.5	5461	5306.9	5319.4
120.5	5272.7	5496.9	5349	5360.6
121.5	5319	5532.5	5390.9	5401.7
122.5	5364.1	5568.8	5432.8	5443.1
123.5	5410.3	5604.9	5474.7	5484.1
124.5	5455.2	5641.6	5516.3	5525.4
125.5	5499.8	5678.5	5557.4	5566.6
126.5	5544.1	5714.8	5599	5607.8
127.5	5588.3	5750.2	5640.6	5648.9
128.5	5629.4	5786.8	5682.5	5690.1
129.5	5666.7	5823	5724.7	5731.3
130.5	5703.9	5859.6	5767	5772.5
131.5	5739.1	5896.1	5809.8	5813.7
132.5	5775.1	5932.5	5852.7	5854.8
133.5	5809.9	5969	5895.3	5895.9
134.5	5845.1	6006	5937.9	5937.1
135.5	5880	6044.7	5980.5	5978.2
136.5	5915.2	6084.2	6023	6019.4
137.5	5949.7	6125.5	6065.9	6060.5
138.5	5984.8	6168.9	6108.2	6101.6
139.5	6019.3	6212.8	6150.7	6142.6
