depth	min	max	median	wmean
1.5	-47.4	-30.5	-39.3	-39.1
19.5	-31.3	124.8	41.8	43.2
49.5	-6.4	389.2	176.2	180.4
90	309.2	500.9	409.3	406.3
130	446.5	1392.7	774.7	813.7
170	625.7	2189	1248.2	1295.8
210	953.6	2715.4	1776.2	1793.6
270	1737.8	3129.8	2543.5	2524.7
290	1956.8	3237.3	2798.6	2762.8
310	2336.8	3363.6	3006.7	2977.4
330	2879.5	3443.3	3174.8	3174.3
350	3083.7	3703.3	3367	3378
370	3206.1	3827.3	3520.9	3521.7
390	3276.2	4047.3	3661.5	3662.6
430	3607.6	4258.6	3955.6	3952.5
470	4112.9	4525.4	4281.5	4289.3
490	4206.6	4882	4454.3	4480.4
530	4395.9	5438.7	4915.3	4920
570	4640.4	5939.2	5348.4	5350.8
590	4745.6	6040.6	5588.9	5552.2
609	5188.4	6167.2	5820.5	5790.2
620	5631.4	6227.7	5964.8	5958.7
630	5940.1	6357.1	6116.6	6113.4
650	6060.9	7009.8	6382.9	6422.1
670	6969.4	7600.7	7235.7	7249.7
690	7714.6	8344.2	8091.8	8075.6
710	8639.2	9074.2	8856.2	8860.7
730	8851.3	10769.9	9505.1	9600
750	8965.5	12581	10147.4	10335.5
760	9257.1	12657.1	10465.3	10634.6
770	9434.4	12757	10839.5	10934.6
780	9574.3	12898.6	11215.1	11234.7
790	9713.3	13059.1	11575	11534.9
800	9834.7	13337.8	11906.6	11832.4
803	10046.5	13343.9	11996	11927.3
